author_name,gender,country,continent,city_birth,city_residence,language,year_birth,year_death,work1,work2,awards,time period,bio,list_url,list_title,list_bookname,list_copy
Juan Carlos Onetti,Male,Uruguay,Latin America,"Montevideo, Uruguay","Madrid, Spain",Spanish,1909,1994,The Shipyard,Let the Wind Speak,Cervantes Prize,20th Century,Juan Carlos Onetti Borges was a Uruguayan novelist and author of short stories. He was considered one of Latin America's finest writers and a member of the Generation of 45. ,,,,
Eudora Welty,Female,USA,North America,"Mississippi, USA","Mississippi, USA",English,1909,2001,The Optimist's Daughter,Losing Battles,Pulitzer Prize; National Book Award,20th Century,"Eudora Alice Welty was an American short story writer, novelist and photographer who wrote about the American South. Her novel The Optimist's Daughter won the Pulitzer Prize in 1973.",,,,
Wallace Stegner,Male,USA,North America,"Iowa, USA","San Francisco, USA",English,1909,1993,Angle of Repose,The Spectator Bird,Pulitzer Prize; National Book Award,20th Century,"Wallace Earle Stegner was an American novelist, writer, environmentalist, and historian. He was often called ""The Dean of Western Writers"". He won the Pulitzer Prize in 1972 and the U.S. National Book Award in 1977.",,,,
Rachel de Quieroz,Female,Brazil,Latin America,"Ceara, Brazil","Rio de Janeiro, Brazil",Portuguese,1910,2003,The Three Marias,Joao Miguel,Camoes Prize,20th Century,"Rachel de Queiroz was a Brazilian author, translator and journalist who gained acclaim for her writing and was the first woman to enter the Brazilian Academy of Letters.",,,,
Upendranath Ashk,Male,India,Asia,"Jalandhar, India","Prayagraj, India",Hindi,1910,1996,Falling Walls,In the City A Mirror Wandering,,20th Century,"Upendranath Sharma ""Ashk"", was an Indian novelist, short story writer and playwright. He was born in Jalandhar, Punjab. In 1933 he wrote his second short story collection in Urdu called Aurat Ki Fitrat, the foreword of which was written by Munshi Premchand.",,,,
Naguib Mahfouz,Male,Egypt,Africa,"Cairo, Egypt","Cairo, Egypt",Arabic,1911,2006,The Cairo Trilogy,Wedding Song,Nobel Prize,20th Century,"Naguib Mahfouz was the only Egyptian to win the Nobel Prize in Literature. He published 35 novels, over 350 short stories, 26 screenplays, hundreds of op-ed columns for Egyptian newspapers, and seven plays over a 70-year career.",,,,
Odysseas Elitis,Male,Greece,Europe,"Crete, Greece","Athens, Greece",Greek,1911,1996,To Axion Esti,Things Public and Private,Nobel Prize,20th Century,"Odysseas Elytis was a Greek poet, man of letters, essayist and translator, regarded as the definitive exponent of romantic modernism in Greece and the world.",,,,
Alba de Cespedes,Female,Italy,Europe,"Rome, Italy","Paris, France",Italian,1911,1997,Forbidden Notebook,Her Side of the Story,,20th Century,"Alba de Céspedes y Bertini was a Cuban-Italian writer. The granddaughter of the first President of Cuba, de Céspedes was raised in Rome. Married at 15 and a mother by 16, she began her writing career after her divorce at the age of 20. She worked as a journalist throughout the 1930s while also taking an active part in the Italian partisan struggle, and was twice jailed for her anti-fascist activities.",https://www.hammockmag.com/recommendations-lists/six-incomparable-italian-novels,Six Incomparable Italian Novels,Forbidden Notebook,"Out running an errand, Valeria Cossati gives in to a sudden impulse to buy a shiny black notebook. She starts keeping a diary in secret, recording her concerns about her daughter, the constant churn of the domestic routine and her fears that her husband will discover her new habit. Forbidden Notebook is a rediscovered jewel of Italian literature, and a captivating feminist classic: an intimate, haunting story of domestic discontent in post-war Rome, and of one woman’s awakening."
Czesław Miłosz,Male,Poland,Europe,"Seteniai, Lithuania","Krakow, Poland",Polish; English,1911,2004,The Captive Mind,The Issa Valley,Nobel Prize; Neustadt International Prize,20th Century,"Czesław Miłosz was a Polish-American poet, prose writer, translator, and diplomat. He primarily wrote in Polish. Regarded as one of the great poets of the 20th century, he won the 1980 Nobel Prize in Literature.",,,,
Max Frisch,Male,Switzerland,Europe,"Zurich, Switzerland","Zurich, Switzerland",German,1911,1991,Homo Faber,Man In the Holocene,Neustadt International Prize; Buchner Prize,20th Century,"Max Rudolf Frisch was a Swiss playwright and novelist. Frisch's works focused on problems of identity, individuality, responsibility, morality, and political commitment. The use of irony is a significant feature of his post-war output.",,,,
William Golding,Male,United Kingdom,Europe,"Cornwall, UK","Cornwall, UK",English,1911,1993,Lord of the Flies,The Inheritors,Nobel Prize; Booker Prize,20th Century,"Sir William Gerald Golding was a British novelist, playwright, and poet. Best known for his debut novel Lord of the Flies, he published another twelve volumes of fiction in his lifetime.",,,,
Patrick White,Male,Australia,Australia,"London, UK","Sydney, Australia",English,1912,1990,Voss,The Eye of the Storm,Nobel Prize,20th Century,"Patrick Victor White was an Australian novelist and playwright who explored themes of religious experience, personal identity and the conflict between visionary individuals and a materialistic, conformist society.",,,,
Jorge Amado,Male,Brazil,Latin America,"Itabuna, Brazil","Salvador, Brazil",Portuguese,1912,2001,Dona Flor and her Two Husbands,"Gabriela, Clove, Cinnamon",,20th Century,"Jorge Amado was a Brazilian writer of the modernist school. He remains the best-known of modern Brazilian writers, with his work having been translated into some 49 languages and popularized in film. He was nominated for the Nobel Prize for Literature multiple times.",,,,
ER Braithwaite,Male,Guyana,Latin America,"Georgetown, Guyana","Washington, D.C., USA",English,1912,2016,"To Sir, With Love",Reluctant Neighbours,,20th Century,"Eustace Edward Ricardo Braithwaite, publishing as E. R. Braithwaite, was a Guyanese-born British-American novelist, writer, teacher and diplomat best known for his stories of social conditions and racial discrimination against black people.",,,,
Saadat Hasan Manto,Male,India,Asia,"Samrala, India","Lahore, Pakistan",Urdu,1912,1955,Toba Tek Singh,Collected Stories,,20th Century,"Saadat Hasan Manto was a writer, playwright and author who was active in British India and later, after the 1947 partition of India, in Pakistan.",https://www.hammockmag.com/recommendations-lists/selection-of-midnight-reads,A Selection of Midnight Hour Reads,Selected Stories,"Perhaps the name most fundamentally tied to so much writing about Partition, Manto’s stories are not just poignant and human, but also simple and captivating. Manto was deeply opposed to the partition and severely affected by it. From the iconic Toba Tek Singh to various tales about marginalised people and families, his work has enduring relevance even several decades later."
Elsa Morante,Female,Italy,Europe,"Rome, Italy","Rome, Italy",Italian,1912,1985,History,House of Liars,,20th Century,"Elsa Morante was an Italian novelist, poet, translator and children's books author. ",,,,
Lawrence Durrell,Male,United Kingdom,Europe,"Jalandhar, India","Sommières, France",English,1912,1990,The Alexandria Quartet,Justine,,20th Century,"Lawrence George Durrell was an expatriate British novelist, poet, dramatist, and travel writer. He was the eldest brother of naturalist and writer Gerald Durrell. Born in India to British colonial parents, he was sent to England at the age of 11 for his education.",,,,
John Cheever,Male,USA,North America,"Boston, USA","New York, USA",English,1912,1982,The Enormous Radio,Bullet Park,Pulitzer Prize; National Book Award,20th Century,"John William Cheever was an American short story writer and novelist. He is sometimes called ""the Chekhov of the suburbs"".",,,,
Albert Camus,Male,France,Europe,"Drean, Algeria","Paris, France",French,1913,1960,The Outsider,The Myth of Sisyphus,Nobel Prize,20th Century,"Albert Camus was a French philosopher, author, dramatist, journalist, world federalist, and political activist. He was the recipient of the 1957 Nobel Prize in Literature at the age of 44, the second-youngest recipient in history.",,,,
Claude Simon,Male,France,Europe,"Antananarivo, Madagascar","Paris, France",French,1913,2005,The Grass,Triptych,Nobel Prize,20th Century,"One of the best French writers of the 20th century, much of Claude Simon's writing is autobiographical, dealing with personal experiences from World War II and the Spanish Civil War, and his family history.",,,,
Attia Hossain,Female,India,Asia,"Lucknow, India","London, UK",English; Urdu,1913,1998,Sunlight on A Broken Column,Distant Traveller,,20th Century,"Attia Hosain was a British-Indian novelist, author, writer, broadcaster, journalist and actor. She was a woman of letters and a diasporic writer. She wrote in English although her mother tongue was Urdu.",,,,
Adolfo Bioy Casares,Male,Argentina,Latin America,"Buenos Aires, Argentina","Buenos Aires, Argentina",Spanish,1914,1999,The Invention of Morel,Diary of the War of the Pig,Cervantes Prize,20th Century,"Adolfo Bioy Casares was an Argentine fiction writer, journalist, diarist, and translator. He was a friend and frequent collaborator with his fellow countryman Jorge Luis Borges.",,,,
Julio Cortázar,Male,Argentina,Latin America,"Brussels, Belgium","Paris, France",Spanish; French,1914,1984,Hopscotch,Blow Up & Other Stories,Prix Medicis,20th Century,"Julio Florencio Cortázar was an Argentine and naturalised French novelist, short story writer, poet, essayist, and translator. Known as one of the founders of the Latin American Boom, Cortázar influenced an entire generation of Spanish-speaking readers and writers in America and Europe.",,,,
Bohumil Hrabal,Male,Czechia,Europe,"Brno, Czechia","Prague, Czechia",Czech,1914,1997,I Served the King of England,Dancing Lessons for the Advanced in Age,,20th Century,"Bohumil Hrabal was a Czech writer, often named among the best Czech writers of the 20th century.",,,,
Tove Jansson,Female,Finland,Europe,"Helsinki, Finland","Helsinki, Finland",Swedish,1914,2001,The Summer Book, Fair Play,,20th Century,"Tove Marika Jansson was a Swedish-speaking Finnish author, novelist, painter, illustrator and comic strip author. Brought up by artistic parents, Jansson studied art from 1930 to 1938 in Helsinki, Stockholm, and Paris.",,,,
Marguerite Duras,Female,France,Europe,"Ho Chi Minh, Vietnam","Paris, France",French,1914,1996,The Lover,The Square,Prix Goncourt,20th Century,"Marguerite Germaine Marie Donnadieu, known as Marguerite Duras, was a French novelist, playwright, screenwriter, essayist, and experimental filmmaker.",,,,
Romain Gary,Male,France,Europe,"Vilnius, Lithuania","Paris, France",French,1914,1980,The Roots of Heaven,The Kites,Prix Goncourt,20th Century,"Romain Gary, born Roman Kacew, was a French novelist, diplomat, film director, and World War II aviator. He is the only author to have won the Prix Goncourt twice.",,,,
Octavio Paz,Male,Mexico,Latin America,"Mexico City, Mexico","Mexico City, Mexico",Spanish,1914,1998,The Labyrinth of Solitude,Sunstone,Nobel Prize; Neustadt International Prize; Cervantes Prize,20th Century,"Octavio Paz Lozano was a Mexican poet and diplomat. For his body of work, he was awarded the 1977 Jerusalem Prize, the 1981 Miguel de Cervantes Prize, the 1982 Neustadt International Prize for Literature, and the 1990 Nobel Prize in Literature.",,,,
Bernard Malamud,Male,USA,North America,"New York, USA","Vermont, USA",English,1914,1986,The Natural,The Fixer,Pulitzer Prize; National Book Award,20th Century,Bernard Malamud was an American novelist and short story writer. He was one of the best known American Jewish authors of the 20th century and won numerous accolades. ,,,,
William S. Burroughs,Male,USA,North America,"St. Louis, USA","Lawrence, USA",English,1914,1997,Naked Lunch,Queer,,20th Century,William Seward Burroughs II was an American writer and visual artist. He is widely considered a primary figure of the Beat Generation and a major postmodern author who influenced popular culture and literature.,,,,
Khushwant Singh,Male,India,Asia,"Jauharabad, Pakistan","New Delhi, India",English,1915,2014,Train to Pakistan,The Company of Women,,20th Century,"Khushwant Singh was an Indian author, lawyer, diplomat, journalist and politician. His experience in the 1947 Partition of India inspired him to write Train to Pakistan in 1956, which became his most well-known novel.",https://www.hammockmag.com/recommendations-lists/selection-of-midnight-reads,A Selection of Midnight Hour Reads,Train to Pakistan,"One of the best known and most iconic partition novels, Khushwant Singh’s tale recounts the horrors of the partition through the lens of the fictional border village of Mano Majra, telling the story of various characters and the conflicts between Muslims, Sikhs and Hindus who had lived in peace until that point. It’s a stark and disturbing work grounded in the cultural realities of the partition."
Arthur Miller,Male,USA,North America,"New York, USA","Roxbury, USA",English,1915,2005,Death of a Salesman,The Crucible,Pulitzer Prize,20th Century,"Arthur Asher Miller was an American playwright, essayist and screenwriter in the 20th-century American theater. Among his most popular plays are All My Sons, Death of a Salesman, The Crucible, and A View from the Bridge.",,,,
Saul Bellow,Male,USA,North America,"Lachine, Canada","Boston, USA",English,1915,2005,The Adventures of Augie March,Herzog,Nobel Prize,20th Century,"Saul Bellow was an American writer. For his literary work, Bellow was awarded the Pulitzer Prize, the 1976 Nobel Prize in Literature, and the National Medal of Arts.",,,,
Natalia Ginzburg,Female,Italy,Europe,"Palermo, Italy","Rome, Italy",Italian,1916,1991,Family Lexicon,All Our Yesterdays,,20th Century,"Natalia Ginzburg was an Italian author whose work explored family relationships, politics during and after the Fascist years and World War II, and philosophy. She wrote novels, short stories and essays, for which she received the Strega Prize and Bagutta Prize.",https://www.hammockmag.com/recommendations-lists/six-incomparable-italian-novels,Six Incomparable Italian Novels,Voices in the Evening,"Natalia Ginzburg is one of Italy’s most exceptional writers of the domestic, and this novel is a fine example of that. It follows the secret affair of Elsa, who lives with her parents in the house where she was born, with an elusive son from a rich family. An elegant, spare novel reminiscent of Chekhov, Voices in the Evening is about first love, lost chances and societal expectation, providing a stunning portrait of post-war Italy."
Camilo José Cela,Male,Spain,Europe,"Galicia, Spain","Madrid, Spain",Spanish,1916,2002,The Family of Pascual Duarte,The Hive,Nobel Prize; Cervantes Prize,20th Century,"Camilo José Cela y Trulock, 1st Marquess of Iria Flavia was a Spanish novelist, poet, story writer and essayist associated with the Generation of '36 movement.",,,,
Penelope Fitzgerald,Female,United Kingdom,Europe,"Lincoln, UK","London, UK",English,1916,2000,The Blue Flower,The Beginning of Spring,Booker Prize; National Book Award,20th Century,"Penelope Mary Fitzgerald was a Booker Prize-winning novelist, poet, essayist and biographer from Lincoln, England. In 2008, The Times listed her among ""the 50 greatest British writers since 1945"".",,,,
Roald Dahl,Male,United Kingdom,Europe,"Cardiff, UK","Oxford, UK",English,1916,1990,Charlie and the Chocolate Factory,Matilda,,20th Century,"Roald Dahl was a British author of popular children's literature and short stories, a poet, screenwriter and a wartime fighter ace. His books have sold more than 300 million copies worldwide.",,,,
Shirley Jackson,Female,USA,North America,"San Francisco, USA","Vermont, USA",English,1916,1965,We Have Always Lived in the Castle,The Haunting of Hill House,National Book Award,20th Century,"Shirley Hardie Jackson was an American writer known primarily for her works of horror and mystery. Her writing career spanned over two decades, during which she composed six novels, two memoirs, and more than 200 short stories.",https://www.hammockmag.com/recommendations-lists/seminal-works-of,A Literary Horror Reading List,The Haunting of Hill House,"Jackson had been writing novels and stories for nearly two decades before embarking on her tale of Hill House, a mansion set under a hill where visitors can turn up any time they like, but find it rather hard to leave. Dr Montague, a doctor of philosophy, wishes to investigate what constitutes the darkness, which has led to the house being shunned by all who live nearby. He intends to reside there for a summer, with as many people as he can find who have a sympathy for the paranormal. "
Tove Ditlevsen,Female,Denmark,Europe,"Copenhagen, Denmark","Copenhagen, Denmark",Danish,1917,1976,The Copenhagen Trilogy,The Faces,,20th Century,"Tove Irma Margit Ditlevsen was a Danish poet and author. With published works in a variety of genres, she was one of Denmark's best-known authors by the time of her death.",,,,
Heinrich Böll,Male,Germany,Europe,"Cologne, Germany","Cologne, Germany",German,1917,1985,The Clown,The Safety Net,Nobel Prize; Buchner Prize,20th Century,"Heinrich Theodor Böll was a German writer. Considered one of Germany's foremost post-World War II writers, Böll received many accolades for his work",,,,
Magda Szabo,Female,Hungary,Europe,"Debrecen, Hungary","Budapest, Hungary",Hungarian,1917,2007,The Door,Abigail,,20th Century,"Magda Szabó was a Hungarian novelist. A doctor of philology, she also wrote dramas, essays, studies, memoirs, poetry and children's literature. She was a founding member of the Digital Literary Academy, an online digital repository of Hungarian literature.",https://www.hammockmag.com/recommendations-lists/summer-translation-selections,Summer Translation Selections,The Door,"First published in Hungary in the 1980s before being translated to English, Magda Szabo’s The Door is a stylishly told, haunting tale. It recounts a strange relationship built up over two decades between a writer and her housekeeper. After a caustic start, their association becomes an inseparable relationship that also chronicles various aspects of Hungarian society with a deft touch."
Juan Rulfo,Male,Mexico,Latin America,"Sayula, Mexico","Mexico City, Mexico",Spanish,1917,1986,Pedro Páramo,The Burning Plain and Other Stories,,20th Century,"Juan Nepomuceno Carlos Pérez Rulfo Vizcaíno, best known as Juan Rulfo, was a Mexican writer, screenwriter, and photographer. He is best known for two literary works, the 1955 novel Pedro Páramo, and the collection of short stories El Llano en llamas.",,,,
Augusto Roa Bastos,Male,Paraguay,Latin America,"Asuncion, Paraguay","Asuncion, Paraguay",Spanish,1917,2005,"I, the Supreme",Son of Man,Cervantes Prize,20th Century,"Augusto Roa Bastos was a Paraguayan novelist and short story writer. As a teenager he fought in the Chaco War between Paraguay and Bolivia, and he later worked as a journalist, screenwriter and professor.",,,,
Anthony Burgess,Male,United Kingdom,Europe,"Manchester, UK","London, UK",English,1917,1993,A Clockwork Orange,Earthly Powers,,20th Century,"John Anthony Burgess Wilson, who published under the name Anthony Burgess, was an English writer and composer. He wrote several novels and is best known for A Clockwork Orange, a dystopian satire.
",,,,
Carson McCullers,Female,USA,North America,"Columbus, Georgia, USA","New York, USA",English,1917,1967,The Heart is A Lonely Hunter,Clock Without Hands,,20th Century,"Carson McCullers was an American novelist, short-story writer, playwright, essayist, and poet. Her first novel, The Heart Is a Lonely Hunter, explores the spiritual isolation of misfits and outcasts in a small town of the Southern United States.",,,,
Alexander Solzhenitsyn,Male,Russia,Europe,"Kislovodsk, Russia","Moscow, Russia",Russian,1918,2008,One Day in the Life of Ivan Denisovich,The Gulag Archipelago,Nobel Prize,20th Century,"Aleksandr Isayevich Solzhenitsyn was a Russian author and Soviet dissident who helped to raise global awareness of political repression in the Soviet Union, especially the Gulag prison system.",,,,
Muriel Spark,Female,United Kingdom,Europe,"Edinburgh, UK","Pisa, Italy",English,1918,2006,The Public Image,Loitering with Intent,Booker Prize,20th Century; 21st Century,"Dame Muriel Sarah Spark was a Scottish novelist, short story writer, poet and essayist. She was considered one of the greatest Female British writers of the 20th century.",,,,
Amrita Pritam,Female,India,Asia,"Gujranwala, Pakistan","New Delhi, India",Punjabi; Hindi,1919,2005,Pinjar,Black Rose,,20th Century,"Amrita Pritam was an Indian novelist, essayist and poet, who wrote in Punjabi and Hindi. A prominent figure in Punjabi literature, she is the recipient of the 1956 Sahitya Akademi Award.",,,,
Doris Lessing,Female,United Kingdom,Europe,"Kermanshah, Iran","London, UK",English,1919,2013,The Golden Notebook,The Grass is Singing,Nobel Prize; Prix Medicis,20th Century; 21st Century,"Doris May Lessing was a British novelist. She was born to British parents in Iran, where she lived until 1925. Her family then moved to Southern Rhodesia, where she remained until moving in 1949 to London, England.",,,,
Iris Murdoch,Female,United Kingdom,Europe,"Dublin, Ireland","Oxford, UK",English,1919,1999,Under the Net,"The Sea, The Sea",Booker Prize,20th Century,"Dame Jean Iris Murdoch DBE was an Irish and British novelist and philosopher. Murdoch is best known for her novels about good and evil, sexual relationships, morality, and the power of the unconscious.",,,,
J.D. Salinger,Male,USA,North America,"New York, USA","New Hampshire, USA",English,1919,2010,The Catcher in the Rye,Franny and Zooey,,20th Century,Jerome David Salinger was an American author best known for his 1951 novel The Catcher in the Rye. Salinger served in World War II and was one of the most influential American writers of the 20th century.,,,,
Clarice Lispector,Female,Brazil,Latin America,"Chechelnyk, Ukraine","Rio de Janeiro, Brazil",Portuguese,1920,1977,Near the Wild Heart,The Hour of the Star,,20th Century,"Clarice Lispector was a Ukrainian-born Brazilian novelist and short story writer. Her distinctive works delved into diverse narrative forms, weaving themes of intimacy and introspection, earning subsequent international acclaim.",,,,
Mario Benedetti,Male,Uruguay,Latin America,"Paso de los Toros, Uruguay","Montevideo, Uruguay",Spanish,1920,2009,The Truce,Springtime in A Broken Mirror,,20th Century; 21st Century,"Mario Benedetti Farrugia, was a Uruguayan journalist, novelist, and poet and an integral member of the Generación del 45. Despite publishing more than 80 books and being published in twenty languages, he was not well known in the English-speaking world.",,,,
Ray Bradbury,Male,USA,North America,"Chicago, USA","Los Angeles, USA",English,1920,2012,Fahrenheit 451,The Martian Chronicles,Pulitzer Prize,20th Century; 21st Century,"Ray Douglas Bradbury was an American author and screenwriter. One of the most celebrated 20th-century American writers, he worked in a variety of genres, including fantasy, science fiction, horror, mystery, and realistic fiction.",,,,
Stanisław Lem,Male,Poland,Europe,"Lviv, Ukraine","Krakow, Poland",Polish,1921,2006,Solaris,The Cyberiad,,20th Century,"Stanisław Herman Lem was a Polish writer. He was the author of many novels, short stories, and essays on various subjects, including philosophy, futurology, and literary criticism. Many of his science fiction stories are of satirical and humorous character.",,,,
Pier Paolo Pasolini,Male,Italy,Europe,"Bologna, Italy","Rome, Italy",Italian,1922,1975,Theorem,Reality,,20th Century,"Pier Paolo Pasolini was an Italian poet, film director, writer, actor and playwright. He is considered one of the defining public intellectuals in 20th-century Italian history, influential both as an artist and a political figure.",,,,
José Saramago,Male,Portugal,Europe,"Azinhaga, Portugal","Lanzarote, Spain",Portuguese,1922,2010,Blindness,The History of the Siege of Lisbon,Nobel Prize; Camoes Prize,20th Century; 21st Century,"José Saramago is one of the most important international writers of the last hundred years. Born in Portugal in 1922, he was in his sixties when he came to prominence as a writer with the publication of Baltasar and Blimunda.",,,,
Kingsley Amis,Male,United Kingdom,Europe,"London, UK","London, UK",English,1922,1995,Lucky Jim,The Old Devils,Booker Prize,20th Century,"Sir Kingsley William Amis was an English novelist, poet, critic and teacher. He wrote more than 20 novels, six volumes of poetry, a memoir, short stories, radio and television scripts, and works of social and literary criticism.",,,,
Jack Kerouac,Male,USA,North America,"Boston, USA","Tampa Bay, USA",English,1922,1969,On The Road,The Dharma Bums,,20th Century,"Jean-Louis Lebris de Kérouac, known as Jack Kerouac, was an American novelist and poet who, alongside William S. Burroughs and Allen Ginsberg, was a pioneer of the Beat Generation.",,,,
John Edward Williams,Male,USA,North America,"Clarksville, USA","Arkansas, USA",English,1922,1994,Stoner,Augustus,National Book Award,20th Century,"John Edward Williams was an American author, editor and professor. He was best known for his novels Butcher's Crossing, Stoner, and Augustus, which won a U.S. National Book Award.",,,,
Kurt Vonnegut,Male,USA,North America,"Indianapolis, USA","New York, USA",English,1922,2007,Slaughterhouse-Five,Cat's Cradle,,20th Century; 21st Century,"Kurt Vonnegut was an American author known for his satirical and darkly humorous novels. His published work includes fourteen novels, three short-story collections, five plays, and five nonfiction works over fifty-plus years",,,,
William Gaddis,Male,USA,North America,"New York, USA","New York, USA",English,1922,1998,The Recognitions,J R,National Book Award,20th Century,"William Thomas Gaddis Jr. was an American novelist. The first and longest of his five novels, The Recognitions, was named one of TIME magazine's 100 best novels of the twentieth century. ",,,,
Álvaro Mutis,Male,Colombia,Latin America,"Bogota, Colombia","Mexico City, Mexico",Spanish,1923,2013,The Adventures and Misadventures of Maqroll,Illona Arrives with the Rain,Cervantes Prize; Neustadt International Prize; Prix Medicis,20th Century,"Álvaro Mutis Jaramillo was a Colombian poet, novelist, and essayist. His best-known work is the novel sequence The Adventures and Misadventures of Maqroll. ",,,,
Italo Calvino,Male,Italy,Europe,"Santiago de Las Vegas, Cuba","Rome, Italy",Italian,1923,1985,Invisible Cities,If On A Winter's Night A Traveler,Prix Medicis,20th Century,"Italo Calvino was an Italian writer and journalist. Admired in Britain, Australia and the United States, Calvino was the most translated contemporary Italian writer at the time of his death.",,,,
Nadine Gordimer,Female,South Africa,Africa,"Springs, South Africa","Johannesburg, South Africa",English,1923,2014,July's People,The Conservationist,Nobel Prize; Booker Prize,20th Century; 21st Century,"Nadine Gordimer was a South African writer and political activist. She received the Nobel Prize in Literature in 1991, recognised as a writer ""who through her magnificent epic writing has ... been of very great benefit to humanity"".",,,,
Sam Selvon,Male,Trinidad and Tobago,North America,"San Fernando, Trinidad","Piarco, Trinidad",English,1923,1994,The Lonely Londoners,Ways of Sunlight,,20th Century,"Samuel Selvon was a Trinidad-born writer, who moved to London, England, in the 1950s. His 1956 novel The Lonely Londoners is groundbreaking in its use of creolised English, or ""nation language"", for narrative as well as dialogue.",,,,
Yasar Kemal,Male,Turkey,Asia,"Osmaniye, Turkey","Istanbul, Turkey",Turkish,1923,2015,"Memed, My Hawk",The Wind from the Plain,,20th Century; 21st Century,Yaşar Kemal was a leading Kurdish writer and human rights activist from Turkey. He received 38 awards during his lifetime and had been a candidate for the Nobel Prize in Literature.,,,,
Joseph Heller,Male,USA,North America,"New York, USA","New York, USA",English,1923,1999,Catch 22,Something Happened,,20th Century,"Joseph Heller was an American author of novels, short stories, plays, and screenplays. His best-known work is the novel Catch-22, a satire on war and bureaucracy, whose title has become a synonym for an absurd or contradictory choice. He was nominated in 1972 for the Nobel Prize in Literature.",,,,
Norman Mailer,Male,USA,North America,"New Jersey, USA","Provincetown, USA",English,1923,2007,The Armies of the Night,The Naked and the Dead,,20th Century,"Nachem Malech Mailer, known by his pen name Norman Kingsley Mailer, was an American writer and filmmaker. In a career spanning more than six decades, Mailer had 11 best-selling books.",,,,
José Donoso,Male,Chile,Latin America,"Santiago, Chile","Santiago, Chile",Spanish,1924,1996,The Obscene Bird of Night,Curfew,,20th Century,"José Manuel Donoso Yáñez, known as José Donoso, was a Chilean writer, journalist and professor. He lived most of his life in Chile, although he spent many years in self-imposed exile in Mexico, the United States and Spain.",,,,
Josef Škvorecky,Male,Czechia,Europe,"Náchod, Czechia","Toronto, Canada",Czech; English,1924,2012,The Engineer of Human Souls,Dvorak in Love,Neustadt International Prize,20th Century,"Josef Škvorecký was a Czech-Canadian writer and publisher. He spent half of his life in Canada, publishing and supporting banned Czech literature during the communist era.",https://www.hammockmag.com/recommendations-lists/8-books-about-living-under-authoritarianism,Eight Books about Living Under Authoritarianism,The Engineer of Human Souls,"A Czech classic that is labryinthine, ambitious and powerful, The Engineer of Human Souls is about contemporary society as well as about immigration, about exile and the secret police, about academia and the political, but above all it is a story of absurd comedy and tragic moral curiosity. A book that is well worth exploring and that covers large spans of the twentieth century, it is certainly a contender for one of the finest Czech works ever created."
Michel Tournier,Male,France,Europe,"Paris, France","Choisel, France",French,1924,2016,Friday,Gemini,Prix Goncourt,20th Century,Michel Tournier was one of the leading French novelists of the last third of the 20th century. He was an inventive and imaginative writer committed to reviving myths and legends for readers who had lost touch with the truths they represented.,,,,
Kamala Markandaya,Female,India,Asia,"Mysore, India","London, UK",English,1924,2004,The Nowhere Man,Nectar in A Sieve,,20th Century,"Kamala Markandaya, pseudonym of Kamala Purnaiya, was a British-Indian novelist and journalist. She has been called ""one of the most important Indian novelists writing in English"".",,,,
Kobo Abe,Male,Japan,Asia,"Tokyo, Japan","Tokyo, Japan",Japanese,1924,1993,Woman in the Dunes,The Box Man,,20th Century,"Kōbō Abe, pen name of Kimifusa Abe, was a Japanese writer, playwright, and director. His 1962 novel The Woman in the Dunes was made into an award-winning film by Hiroshi Teshigahara in 1964.",,,,
James Baldwin,Male,USA,North America,"New York, USA","Vence, France",English,1924,1987,Go Tell It on the Mountain,Giovanni's Room,,20th Century,"James Arthur Baldwin was an African-American writer and civil rights activist who garnered acclaim for his essays, novels, plays, and poems. His 1953 novel Go Tell It on the Mountain has been ranked by Time as one of the top 100 English-language novels.",https://www.hammockmag.com/recommendations-lists/a-classic-queer-reading-list,A Classic Queer Reading List,Giovanni's Room,"Giovanni’s Room is considered a masterpiece in queer literature seen by many modern masters as an antidote to shame. Shame is one of the centrepieces of the novel, that recounts an anguished love affair in Paris between the American narrator David, and Giovanni, an Italian bartender. The entire novel dissects shame, its roots, the myths that perpetuate it, the harm it can do, and its arbitrariness. While David sees shame as a natural conclusion to queerness, the novel also offers Giovanni, who seems immune to it. It’s this freedom that Giovanni represents that makes him such an iconic character."
Frantz Fanon,Male,Algeria,Africa,"Fort-de-France, Algeria","Maryland, USA",French,1925,1961,"Black Skin, White Masks",The Wretched of the Earth,,20th Century,"Frantz Omar Fanon was a French Afro-Caribbean psychiatrist, political philosopher, and Marxist from the French colony of Martinique. His works have become influential in the fields of post-colonial studies, critical theory, and Marxism.",,,,
